NAZEV SOUBORU                        |           VELIKOST          |           PIXELS          |   byte/ pixel      
datasets/scan_book/compressed/CCBG83021_5.jp2 | 50059817B | 33660000px | 1.48721975639
datasets/scan_book/compressed/CCBG83072_9.jp2 | 51070977B | 33660000px | 1.51726016043
datasets/scan_book/compressed/CCBG83021_9.jp2 | 50051077B | 33660000px | 1.48696010101
datasets/scan_book/compressed/CCBG83028_9.jp2 | 37963653B | 33660000px | 1.12785659537
datasets/scan_book/compressed/CCBG83029_2.jp2 | 52306318B | 33660000px | 1.5539607249
datasets/scan_book/compressed/CCBG83029_6.jp2 | 51242502B | 33660000px | 1.52235597148
datasets/scan_book/compressed/CCBG83021_4.jp2 | 50082517B | 33660000px | 1.48789414736
datasets/scan_book/compressed/CCBG83027_5.jp2 | 51896210B | 33660000px | 1.54177688651
datasets/scan_book/compressed/CCBG83003_3.jp2 | 45841195B | 33660000px | 1.36188933452
datasets/scan_book/compressed/CCBG83090_1.jp2 | 54718546B | 33660000px | 1.62562525253
datasets/scan_book/compressed/CCBG83040_1.jp2 | 62706937B | 33660000px | 1.86295118835
datasets/scan_book/compressed/CCBG83025_8.jp2 | 39636722B | 33660000px | 1.17756155674
datasets/scan_book/compressed/CCBG83014_1.jp2 | 62127054B | 33660000px | 1.84572352941
datasets/scan_book/compressed/CCBG83222_3.jp2 | 37405020B | 33660000px | 1.11126024955
datasets/scan_book/compressed/CCBG83017_3.jp2 | 42016785B | 33660000px | 1.24827049911
datasets/scan_book/compressed/CCBG83047_7.jp2 | 48416004B | 33660000px | 1.43838395722
datasets/scan_book/compressed/CCBG83224_5.jp2 | 43782571B | 33660000px | 1.30072997623
datasets/scan_book/compressed/CCBG83011_7.jp2 | 39241375B | 33660000px | 1.16581625074
datasets/scan_book/compressed/CCBG83017_7.jp2 | 41779476B | 33660000px | 1.24122032086
datasets/scan_book/compressed/CCBG83067_9.jp2 | 45964023B | 33660000px | 1.36553841355
datasets/scan_book/compressed/CCBG83025_4.jp2 | 39660252B | 33660000px | 1.17826060606
datasets/scan_book/compressed/CCBG83053_4.jp2 | 45087555B | 33660000px | 1.33949955437
datasets/scan_book/compressed/CCBG83029_5.jp2 | 51246552B | 33660000px | 1.52247629234
datasets/scan_book/compressed/CCBG83021_7.jp2 | 50051515B | 33660000px | 1.48697311349
